"Note: In Ramey's regressions, all GDP and hours variables were entered as log(x/totpop). ",,,,,,,,,,,,,,,,,,,,,,
"Real GDP and its components are indexes, equal to 100 in 2005.  DO NOT ADD.",,,,,,,,,,,,,,,,,,,,,,
,Nominal present value of news variable,pdvmil divided by nominal gdp of previous quarter,real gdp,real total consumption,real durable consumption,real nondurable consumption,real services consumption,real fixed investment,real nonresidential fixed investment,real residential investment,real government spending,real federal spending,real defense spending,Real consumer stock of durables,total hours - Household based measure,Military hours,"total population, including armed forces overseas",Real manufacturing product wage,Consumer price index,BAA bond interest rate,Interest rate on 3-month T-bills,Barro-Redlick Avg. marginal tax rate
,,,,,,,,,,,,,,,,,,,,,,
quarter,pdvmil,pdvmily,rgdp,rcons,rcdur,rcnd,rcsv,rinvfx,rnri,rres,rgov,rfed,rdef,kcdur,tothours,milithours,totpop,rwmfg,cpi,BAA,tb3,amtbr
1966.75,21.8,0.027,30.74,27.12,12.86,38.04,26.76,20.37,18.35,26.56,49.59,68.47,82.71,12.89,154.28,6.05,197398,0.08,32.88,6.14,5.21,0.251
1967,38.8,0.048,31.01,27.27,12.62,38.47,27.01,19.89,17.96,25.76,51.70,73.16,87.66,13.09,154.02,6.21,197892,0.08,32.97,5.88,4.51,0.256
1967.25,6,0.007,31.01,27.65,13.16,38.76,27.27,20.40,17.89,28.69,51.42,72.10,87.72,13.30,152.71,6.28,198363,0.08,33.17,5.98,3.66,0.256
1967.5,3.8,0.005,31.26,27.79,13.05,38.72,27.64,20.60,17.80,30.13,51.95,73.25,89.92,13.50,154.36,6.29,198911,0.08,33.50,6.33,4.30,0.256
1967.75,-10,-0.012,31.50,27.96,13.09,38.90,27.88,21.24,18.17,31.89,52.31,73.10,88.96,13.71,156.20,6.29,199498,0.08,33.87,6.72,4.75,0.256
1968,5,0.006,32.15,28.63,13.90,39.66,28.31,21.75,18.74,32.08,53.22,74.37,91.16,13.95,154.93,6.29,199920,0.08,34.20,6.83,5.05,0.286
1968.25,-23.3,-0.026,32.69,29.07,14.19,40.15,28.76,21.64,18.41,32.89,53.47,73.77,91.08,14.21,155.79,6.37,200361,0.08,34.53,7.02,5.52,0.286
1968.5,0,0.000,32.92,29.61,14.83,40.79,29.13,21.96,18.66,33.48,53.58,73.14,89.28,14.48,156.85,6.50,200898,0.08,35.00,6.86,5.20,0.286
1968.75,0,0.000,33.06,29.75,14.75,40.80,29.45,22.50,19.21,33.90,53.62,72.69,88.48,14.75,157.32,6.36,201466,0.09,35.43,7.03,5.59,0.286
1969,0,0.000,33.58,30.08,15.02,41.25,29.72,23.21,19.78,35.12,53.67,72.29,87.54,15.01,158.13,6.27,201881,0.09,35.87,7.38,6.09,0.298
1969.25,0,0.000,33.68,30.27,14.98,41.34,30.08,23.31,20.00,34.74,53.45,71.13,85.58,15.25,158.54,6.33,202331,0.09,36.43,7.59,6.20,0.298
1969.5,0,0.000,33.89,30.42,14.94,41.50,30.32,23.70,20.54,34.46,53.53,71.18,85.45,15.48,158.95,6.36,202877,0.09,36.93,7.92,7.02,0.298
1969.75,0,0.000,33.73,30.66,14.88,41.78,30.70,23.10,20.41,31.94,52.74,69.28,83.66,15.68,159.56,6.29,203500,0.09,37.50,8.37,7.35,0.298
1970,-5,-0.005,33.68,30.85,14.65,42.13,31.02,23.02,20.29,32.00,52.46,67.91,81.43,15.86,159.19,5.97,204008,0.09,38.10,8.76,7.21,0.286
1970.25,-3,-0.003,33.74,30.99,14.82,42.11,31.22,22.51,20.18,29.87,51.78,65.78,77.59,16.03,158.10,5.78,204607,0.09,38.63,8.98,6.68,0.286
1970.5,0,0.000,34.04,31.26,14.88,42.41,31.57,22.91,20.29,31.46,52.00,64.81,76.38,16.19,156.79,5.54,205295,0.09,39.03,9.41,6.33,0.286
1970.75,0,0.000,33.68,31.18,13.89,42.91,31.73,22.93,19.53,34.78,52.00,64.46,75.80,16.36,156.06,5.45,206024,0.09,39.60,9.28,5.35,0.286
1971,0,0.000,34.61,31.77,15.38,43.08,31.95,23.44,19.71,36.64,51.16,61.95,72.24,16.55,157.13,5.25,206668,0.09,39.93,8.53,3.84,0.278
