"Note: In Ramey's regressions, all GDP and hours variables were entered as log(x/totpop). ",,,,,,,,,,
"Real GDP and its components are indexes, equal to 100 in 2005.  DO NOT ADD.",,,,,,,,,,
,Ramey-Shapiro military date,Real gdp,Real nondurable + services consumption,Real fixed investment,Real government spending,Real federal spending,Real defense spending,Total hours - Establishment based measures,Total population,Barro-Redlick Avg. Marginal Tax Rate
,,,,,,,,,,
,,,,,,,,,,
quarter,war,rgdp,rcndsv,rinvfx,rgov,rfed,rdef,tothoursces,totpop,amtbr
2003.25,0,92.881,93.38527392,86.215,98.534,95.718,95.191,248.337,290237,0.359
2003.5,0,94.438,94.3214253,88.992,98.824,95.812,94.066,248.944,290953,0.359
2003.75,0,95.288,94.83064941,90.584,98.895,96.511,95.929,249.931,291679,0.359
2004,0,95.959,95.71436323,90.404,99.366,97.749,97.359,251.121,292230,0.358
2004.25,0,96.641,96.20956515,93.189,99.73,98.304,97.871,251.275,292850,0.358
2004.5,0,97.351,96.87916837,95.166,100.094,100.01,100.708,252.257,293562,0.358
2004.75,0,98.195,97.92413892,96.779,99.482,98.778,98.201,252.989,294300,0.358
2005,0,99.175,98.66808346,97.968,99.577,99.19,99.068,254.423,294928,0.351
2005.25,0,99.598,99.35789042,99.704,99.685,99.286,99.826,255.628,295518,0.351
2005.5,0,100.354,100,100.975,100.59,101.608,102.492,256.280,296244,0.351
2005.75,0,100.873,100.6543829,101.352,100.147,99.915,98.614,256.936,297001,0.351
2006,0,102.196,101.369059,103.67,101.147,102.763,101.115,259.262,297640,0.353
2006.25,0,102.564,102.0282804,103.186,101.232,101.887,101.384,259.657,298273,0.353
2006.5,0,102.592,102.5873114,101.88,101.386,101.792,100.892,260.791,299029,0.353
2006.75,0,103.341,103.559647,100.499,101.67,102.066,102.963,262.299,299848,0.353
2007,0,103.652,104.4378772,99.838,101.671,100.738,100.952,261.942,300535,0.353
2007.25,0,104.475,104.700899,100.726,102.764,102.558,103.059,262.588,301200,0.353
2007.5,0,105.402,105.0887914,100.626,103.757,104.871,105.546,261.844,301967,0.353
2007.75,0,105.957,105.2625617,99.564,104.169,105.57,105.668,262.711,302754,0.353
2008,0,105.764,105.4079422,97.969,104.845,107.654,107.76,262.216,303399,0.353
2008.25,0,106.147,105.6262513,97.291,105.782,109.698,109.597,261.661,304006,0.353
2008.5,0,105.43,104.9724713,95.199,107.036,113.152,114.668,259.706,304733,0.353
2008.75,0,103.984,104.7462995,89.964,107.346,114.946,115.732,255.775,305510,0.353
