robs,piexp,dw,dc,dinve,dy,pinfobs
2.89666270247044e-05,3.57993935078751e-05,-1.59898580461328e-05,9.96461581161784e-06,-1.7471370140019e-05,2.63902324276491e-06,3.68163819997842e-05
2.814705650232e-05,3.48102892806836e-05,-1.55412483045572e-05,9.68569739726459e-06,-1.69798365583205e-05,2.59325941977413e-06,3.5799403689259e-05
2.73504527001345e-05,3.38483279604105e-05,-1.51055486410571e-05,9.41497150657595e-06,-1.65017350582383e-05,2.54840053319268e-06,3.48103004870642e-05
2.65762037883473e-05,3.29127968811791e-05,-1.46823418983779e-05,9.15210943278254e-06,-1.60368217528455e-05,2.50434797452926e-06,3.38483426444236e-05
2.58237132911986e-05,3.20029895033377e-05,-1.42712334690101e-05,8.89680710586549e-06,-1.5584826395565e-05,2.46102301549574e-06,3.29128078304275e-05
2.50923951289686e-05,3.1118219771756e-05,-1.387184807039e-05,8.64879223524401e-06,-1.51454623553191e-05,2.41836722238813e-06,3.20030056346094e-05
2.43816741264094e-05,3.02578140069702e-05,-1.34838272938779e-05,8.40780640001855e-06,-1.47184309202639e-05,2.37633486517472e-06,3.11182360425724e-05
2.3690987521601e-05,2.94211144224391e-05,-1.31068275680934e-05,8.17361665645162e-06,-1.43034232059925e-05,2.3348908363291e-06,3.02578329789647e-05
2.30197830694668e-05,2.86074818425856e-05,-1.27405186806128e-05,7.94600170659032e-06,-1.3900123727792e-05,2.29401250087928e-06,2.9421137135237e-05
2.23675213528417e-05,2.78162780816593e-05,-1.23845825089734e-05,7.72475401070663e-06,-1.35082222680933e-05,2.25367849399681e-06,2.86075023057987e-05
2.17336794877992e-05,2.70468972783262e-05,-1.20387121310114e-05,7.50967859343561e-06,-1.31274039625453e-05,2.2138789218265e-06,2.78163034334464e-05
2.11177381084915e-05,2.62987430594673e-05,-1.17026110129094e-05,7.30059227521531e-06,-1.27573651251856e-05,2.17460420010964e-06,2.70469233516489e-05
